,Unnamed: 0,Location,Gammix_weekday_proto,Gammix_weekend_proto,Gammix_friday_proto,Historical_weekday_proto,Historical_weekend_proto,Historical_friday_proto
0,0,Granollers,"2.9625110119828397,2.9625110119828397,2.962511011989498,2.9625110318043686,2.962515063276197,2.96270183189757,2.9660629951995863,2.9973520935045626,3.176346644670109,3.879918637734396,5.93019791955391,10.60319127018957,19.259209609733116,32.65332473637621,50.297929345552646,70.31300816918485,89.92773402419687,106.40449422784697,117.93253544984715,124.10189347092707,125.82359981018513,124.82498151461954,122.98716221013937,121.78115394815933,121.95360181742515,123.48828398352266,125.77801657929405,127.90228885207335,128.91113443061343,128.0463833817525,124.86885051696815,119.29162407687669,111.53982316412171,102.06567370433356,91.44714153358201,80.29227329228286,69.16316788016964,58.5255782037577,48.723936488925624,39.97762317217278,32.39244368972021,25.981071090118128,20.687067699511243,16.408469065582516,13.018377267249473,10.381299304296988,8.364948258856913,6.847872573105","3.5795377202349106,3.579537806862905,3.5795518406763724,3.5797842886616054,3.5812629508615466,3.586851210511949,3.6021188267456568,3.6355611821281566,3.697968280862856,3.801077719520178,3.9558515550194926,4.170768722812703,4.450460372734809,4.794891532956097,5.199157902870328,5.653853433243112,6.1458877709139905,6.659594768564364,7.177968305750532,7.683880278268415,8.161167945794242,8.595515380553906,8.97509018881799,9.290927923386628,9.537080618487956,9.710562157971165,9.81113228885226,9.840964184508588,9.804238976914602,9.706706058618373,9.555241498708378,9.357429687682702,9.121186129375046,8.854432689098505,8.564830922072558,8.259574503774616,7.945238289471266,7.627679076797426,7.311981608581851,7.002442579774655,6.702585240887604,6.415197465988415,6.14238673701696,5.885646269815702,5.645927375114205,5.423714036133191,5.219096539942522,5.031841786083712","4.823977060014901,4.823977060014901,4.8239770600149035,4.823977060028685,4.823977065753261,4.823977865381945,4.824026368222293,4.825337726929239,4.843220876999313,4.983324164689192,5.682476711513142,8.08353415231242,14.092786077249016,25.52257633584779,42.538148708605824,62.72436627273724,81.90728783585942,96.31720083720867,104.46870547271168,107.49630736876783,108.02054936357382,108.56206689011513,110.4745099906216,113.73491736766987,117.36440471105011,120.05744060127269,120.69903736414122,118.64197281393945,113.76129393234862,106.36523158329095,97.04384692818293,86.51349063532761,75.48904549966372,64.59605258794602,54.322440791166876,45.00310235736733,36.82806703481836,29.865017200132858,24.088272436871268,19.40837885078774,15.698524492910524,12.815826432982021,10.616927959936461,8.968270043163573,7.75191103481251,6.867958006357933,6.23464738722964,5.786965329680248","5.8076923076923075,5.730769230769231,5.730769230769231,5.730769230769231,5.730769230769231,5.730769230769231,5.730769230769231,5.730769230769231,5.730769230769231,6.269230769230769,6.769230769230769,7.8076923076923075,11.884615384615385,25.807692307692307,50.0,76.57692307692308,96.1923076923077,107.8076923076923,116.84615384615384,119.8076923076923,121.42307692307692,122.65384615384616,123.42307692307692,124.6923076923077,125.96153846153847,126.6923076923077,127.61538461538461,127.76923076923077,126.46153846153847,124.96153846153847,123.23076923076923,116.92307692307692,104.5,99.03846153846153,94.88461538461539,89.53846153846153,75.73076923076923,64.5,53.07692307692308,41.30769230769231,27.923076923076923,19.73076923076923,13.923076923076923,10.0,7.730769230769231,6.615384615384615,6.115384615384615,5.846153846153846","4.076923076923077,3.6923076923076925,3.6153846153846154,3.6153846153846154,3.6153846153846154,3.6153846153846154,3.6153846153846154,3.6153846153846154,3.5384615384615383,3.6153846153846154,3.6923076923076925,3.8461538461538463,4.076923076923077,4.461538461538462,5.461538461538462,5.769230769230769,6.3076923076923075,6.846153846153846,7.3076923076923075,7.769230769230769,8.153846153846153,8.615384615384615,8.923076923076923,9.076923076923077,9.23076923076923,9.615384615384615,10.153846153846153,10.153846153846153,10.0,9.76923076923077,9.538461538461538,8.923076923076923,8.692307692307692,8.461538461538462,8.615384615384615,8.615384615384615,8.461538461538462,8.0,7.461538461538462,6.6923076923076925,6.3076923076923075,6.0,6.0,6.0,5.846153846153846,5.461538461538462,5.384615384615385,5.3076923076923075","6.0,5.833333333333333,5.833333333333333,5.833333333333333,5.666666666666667,5.666666666666667,5.833333333333333,5.833333333333333,5.833333333333333,6.5,7.0,8.166666666666666,12.333333333333334,18.666666666666668,43.666666666666664,66.66666666666667,85.0,95.0,102.0,104.66666666666667,106.5,113.0,113.83333333333333,115.16666666666667,116.0,116.16666666666667,117.33333333333333,117.33333333333333,115.0,110.66666666666667,102.16666666666667,89.0,70.0,59.166666666666664,52.833333333333336,46.833333333333336,37.333333333333336,30.833333333333332,26.333333333333332,22.666666666666668,16.0,11.666666666666666,9.333333333333334,7.5,5.833333333333333,4.5,4.0,3.8333333333333335"
1,1,Vilanova,"61.37577505554048,61.375775055540494,61.37577505780384,61.375777049214406,61.37595491554646,61.38038528779843,61.428986199416144,61.72975904514304,62.949202121518375,66.51743345840957,74.56461491927553,89.21028091191154,111.43579353533312,140.21681243833655,172.51816569427984,204.2140830446087,231.44759678636683,251.76547058005468,264.589685285392,270.97902357591937,272.93836341289443,272.6313300715651,271.7740795801374,271.33395531854,271.51737017495316,271.9516355894338,271.94746826129807,270.7513221402161,267.7345519686749,262.5017772098024,254.92523969133097,245.12428679249638,233.41205483122178,220.22871293547763,206.07547393967045,191.45813628360042,176.84432386552447,162.6352431167886,149.15065474543786,136.62464126765033,125.2093663588811,114.9841138920344,105.96725831899788,98.12930344096924,91.40563210222534,85.70807275393784,80.93477748683601,76.97820812371255","50.93000917703427,50.93001619093188,50.93045579401095,50.93464032063621,50.95285077238795,51.00498736238792,51.12024611833902,51.33409083381828,51.683622280247825,52.20257037283302,52.91689235707614,53.8415908812965,54.97900811776958,56.318570415107025,57.83777084818963,59.50407781759075,61.27742854160321,63.11298595243121,64.96388684286973,66.78377245895977,68.52895863736795,70.16016348534254,71.64376217246748,72.95257878161156,74.06625420726756,74.9712477439874,75.66053983076273,76.13310620753619,76.39323129412203,76.44972256123424,76.31507943213042,76.00466096613177,75.53588709895155,74.92749917157084,74.19889728076487,73.36956486918126,72.45858504539093,71.48424838909162,70.46374838863642,69.41295806777426,68.34627965178234,67.27655815635273,66.2150494133493,65.1714331423644,64.15386211576306,63.16903914333729,62.22231443317993,61.31779679660332","62.60326010898944,62.60326010901335,62.6032602331862,62.60327502668672,62.60364347446427,62.607509507083066,62.631533346814216,62.742805095378934,63.1876213717136,64.7418800908723,69.2129525414579,79.40319071943537,97.72821966348653,124.02351694765744,154.53452546189843,183.42015697424478,205.76663873966112,219.80438391839544,226.9757732549681,230.3385972943674,232.71087378164202,235.6027348250885,239.12532744705916,242.49237227174902,244.6388145184923,244.66930227032918,242.06617162312344,236.71165329756036,228.81048931759736,218.78088573708854,207.1519814620441,194.4830193396874,181.30659017463336,168.09294394161523,155.23092941559474,143.02128829189917,131.67865005246054,121.33923440944149,112.07187105272017,103.89048785114751,96.76670421650687,90.64159311821022,85.43603590760951,81.05938336963284,77.41635422363687,74.41225401015214,71.95669219555084,69.96602463404272","66.18518518518519,64.74074074074075,62.55555555555556,62.18518518518518,62.03703703703704,62.111111111111114,62.0,62.03703703703704,62.81481481481482,74.74074074074075,78.48148148148148,85.66666666666667,99.48148148148148,134.4814814814815,182.2962962962963,208.0,235.33333333333334,252.92592592592592,260.4074074074074,266.037037037037,269.8888888888889,272.3703703703704,272.14814814814815,273.4074074074074,275.2962962962963,275.3333333333333,276.2962962962963,273.6666666666667,266.48148148148147,259.81481481481484,247.92592592592592,237.07407407407408,224.2962962962963,213.14814814814815,207.8148148148148,201.44444444444446,191.0,177.22222222222223,156.14814814814815,138.59259259259258,121.11111111111111,109.70370370370371,98.0,91.77777777777777,87.4074074074074,80.48148148148148,77.37037037037037,72.96296296296296","56.5,53.9375,51.3125,50.5,49.8125,49.625,49.625,49.5625,49.25,51.8125,53.0,53.4375,55.6875,57.8125,59.0,59.6875,61.3125,62.9375,63.75,65.0625,67.4375,70.1875,72.25,74.0625,76.125,77.5625,77.6875,77.125,77.0,74.4375,72.6875,71.6875,72.125,72.625,72.5625,72.75,72.75,74.25,74.75,73.9375,73.0625,70.75,67.75,65.8125,63.6875,60.5625,58.25,55.0625","65.66666666666667,63.5,61.0,60.0,59.833333333333336,59.833333333333336,59.5,59.5,60.333333333333336,70.5,74.5,81.0,92.16666666666667,125.0,158.0,180.83333333333334,205.66666666666666,220.0,226.16666666666666,230.83333333333334,234.66666666666666,237.83333333333334,237.0,240.0,241.5,241.83333333333334,241.33333333333334,238.33333333333334,233.83333333333334,227.5,214.33333333333334,195.16666666666666,177.66666666666666,157.83333333333334,146.16666666666666,137.33333333333334,129.0,122.33333333333333,116.33333333333333,109.0,98.5,94.83333333333333,89.33333333333333,84.33333333333333,79.16666666666667,74.66666666666667,71.0,67.0"
2,2,Santboi,,,,,,
3,3,Sant Sadurni,,,,,,
4,4,Quatre camins,,,,,,
5,5,Mollet,,,,,,
6,6,Sant Quirze,,,,,,
7,7,Martorell,,,,,,
8,8,El Prat,,,,,,
